사업장명,업종분류,서비스명,서비스아이디(ID),인허가일자,영업상태,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,경도,위도,대표메뉴,영업시간
아마스빈침산점,카페,휴게음식점,07_24_05_P,2018-09-20,Y,053-341-7594,702-050,대구광역시 북구 침산동 293-13번지 메트로 캐슬 ,41560,"대구광역시 북구 침산로 152, 1층 (침산동, 메트로 캐슬)",128.5910894,35.88977363,버블티,
바르바르,카페,휴게음식점,07_24_05_P,2018-09-17,Y,,702-842,대구광역시 북구 산격동 1307-78번지 ,41536,"대구광역시 북구 대동로10길 16, 1층 (산격동)",128.6111278,35.89527507,"바케트,크루아상",평일 12:30 - 20:30/일요일 휴무/월요일 휴무/화요일 휴무
프라이스커피읍내점,카페,휴게음식점,07_24_05_P,2018-09-14,Y,,702-850,대구광역시 북구 읍내동 1379-10 ,41438,"대구광역시 북구 구암로21길 3-2, 1층 (읍내동)",128.5521691,35.93277769,아메리카노,매일 09:00 - 22:00
커피랑도서관칠곡점,카페,휴게음식점,07_24_05_P,2018-10-01,Y,070-7631-5550,702-803,대구광역시 북구 관음동 1386-10번지 ,41443,"대구광역시 북구 칠곡중앙대로 465, 5층 (관음동)",128.5488535,35.93736786,아메리카노,매일 00:00 - 24:00 Closed 일 22:00 - 월 9:00/매일 09:00 - 22:00 무인운영 월-토 22:00 - 9:00
카페162,카페,휴게음식점,07_24_05_P,2018-10-01,Y,053-312-6952,702-863,대구광역시 북구 태전동 162-40번지 ,41458,"대구광역시 북구 칠곡중앙대로북53길 22, 1층 (태전동)",128.5441617,35.92069664,아메리카노,매일 10:30 - 22:00/일요일 휴무
메이드바이아델라(MadebyAdela),카페,휴게음식점,07_24_05_P,2018-09-19,Y,0507-1335-1824,702-040,대구광역시 북구 대현동 17-34번지 ,41569,"대구광역시 북구 경대로7길 14-10, 1층 (대현동)",128.6127259,35.88548681,마카롱,영업시간/평일 11:00 - 19:00/토요일 12:00 - 18:00/일요일 휴무 
유앤아이카페(U&I CAFE),카페,휴게음식점,07_24_05_P,2020-07-06,Y,,702-841,대구광역시 북구 산격동 1258 ,41535,"대구광역시 북구 대동로1길 34, 1층 116,117호 (산격동)",128.6105175,35.89840461,,
치우친취향,카페,휴게음식점,07_24_05_P,2020-04-16,Y,,702-912,대구광역시 북구 학정동 964번지 ,41416,"대구광역시 북구 학정동로 66, 1층 (학정동)",128.5679057,35.9495803,"커피, 음료",14:00-20:30
컴포즈커피,카페,휴게음식점,07_24_05_P,2020-06-05,Y,070-8823-4040,702-857,대구광역시 북구 침산동 269-10 명성푸르지오 ,41559,"대구광역시 북구 침산로 153, 105동 1층 c14호 (침산동, 명성푸르지오)",128.5901796,35.88944568,커피,08:00-23:00
북카페휴노,카페,휴게음식점,07_24_05_P,2020-06-17,Y,053-311-0079,702-886,대구광역시 북구 동천동 945-2 ,41430,"대구광역시 북구 대천로18길 20, 1층 (동천동)",128.5573389,35.93533781,커피,
투썸플레이스북대구IC주유소DT점,카페,휴게음식점,07_24_05_P,2020-05-15,Y,053-383-1222,702-837,대구광역시 북구 산격동 507-1 ,41519,"대구광역시 북구 동북로 113, 2,3층 (산격동)",128.6066387,35.9023303,커피,평일 08:00 - 23:00/주말 08:00 - 23:00 
레이스MTB,카페,휴게음식점,07_24_05_P,2020-05-08,Y,053-325-3008,702-807,대구광역시 북구 구암동 790-3번지 ,41432,"대구광역시 북구 구암로39길 17, 1층 (구암동)",128.5620954,35.93294025,,
봄날,카페,휴게음식점,07_24_05_P,2020-05-11,Y,053-384-7750,702-767,대구광역시 북구 산격동 724-12번지 산격주공아파트 ,41532,"대구광역시 북구 연암로 183, 가동 1층 101호 (산격동, 산격주공아파트)",128.5949894,35.90044914,커피,09:00-20:00
게코타워,카페,휴게음식점,07_24_05_P,2020-04-27,Y,053-284-1999,702-040,대구광역시 북구 대현동 24-4번지 ,41569,"대구광역시 북구 경대로 35, 3층 (대현동)",128.6137906,35.88480495,아메리카노,매일 13:00 - 20:30
몬스터커피연경점,카페,휴게음식점,07_24_05_P,2020-06-01,Y,053-983-0041,702-130,대구광역시 북구 연경동 956-1번지 ,41409,"대구광역시 북구 연경중앙로 3, 1층 105호 (연경동)",128.6179566,35.94300772,아메리카노,평일 08:00 - 22:00/주말 09:00 - 22:00
팔공티영진전문대점,카페,휴게음식점,07_24_05_P,2020-06-01,Y,0507-1342-2660,702-830,대구광역시 북구 복현동 249-6 ,41528,"대구광역시 북구 복현로 32-1, 1층 (복현동)",128.6245268,35.89477526,블랙밀크티,매일 09:00 - 21:00
슈니카페,카페,휴게음식점,07_24_05_P,2020-06-01,Y,,702-846,대구광역시 북구 산격동 790-1번지 ,41532,"대구광역시 북구 연암로25길 38-9, 1층 (산격동)",128.5939058,35.89787411,커피,08:30-20:00
로지트,카페,휴게음식점,07_24_05_P,2020-06-02,Y,,702-811,대구광역시 북구 노원동2가 44 노원동화타운 ,41556,"대구광역시 북구 오봉로 39, 1층 상가 2호 (노원동2가, 노원동화타운)",128.5766094,35.89155225,아메리카노,
읍천리382,카페,휴게음식점,07_24_05_P,2020-06-02,Y,0507-1480-6668,702-886,대구광역시 북구 동천동 932-15번지 ,41430,"대구광역시 북구 팔거천동로 142-1, 1층 (동천동)",128.5567224,35.93688045,읍천리커피,매일 11:00 - 22:00
마망카페,카페,휴게음식점,07_24_05_P,2020-05-12,Y,,702-858,대구광역시 북구 침산동 509-5번지 ,41547,"대구광역시 북구 성북로5길 15, B동 2층 (침산동)",128.5864198,35.8922629,"커피, 와플",
요거프레소(대구연경점),카페,휴게음식점,07_24_05_P,2020-05-04,Y,053-985-7895,702-130,대구광역시 북구 연경동 1025-3 ,41409,"대구광역시 북구 연경중앙로 10, 1층 (연경동)",128.6185479,35.94367749,망고치즈스노우 빙수,매일 10:00 - 22:00
카페토스피아,카페,휴게음식점,07_24_05_P,2020-06-09,Y,053-957-8295,702-829,대구광역시 북구 복현동 265-5 ,41528,"대구광역시 북구 복현로 70-5, 1층 (복현동)",128.6239905,35.89826414,클럽샌드위치,매일 09:00 - 21:00
요거프레소대구동천점,카페,휴게음식점,07_24_05_P,2020-06-24,Y,053-323-0220,702-886,대구광역시 북구 동천동 903-4 ,41423,"대구광역시 북구 동천로 135-7, 1층 105호 (동천동)",128.5599175,35.94353027,요거트음료,11:30-22:00
카페루앤비경북대점,카페,휴게음식점,07_24_05_P,2020-05-25,Y,053-939-6770,702-040,대구광역시 북구 대현동 14-37 ,41569,"대구광역시 북구 경대로5길 9-3, 1층 (대현동)",128.6126589,35.88456567,커피,
카페하즈,카페,휴게음식점,07_24_05_P,2020-07-03,Y,,702-310,대구광역시 북구 사수동 962 ,41598,"대구광역시 북구 한강로6길 16, 1층 109호 (사수동)",128.5153284,35.89563909,아메리카노,매일 10:00 - 22:00 월요일 휴무
원드링크본점,카페,휴게음식점,07_24_05_P,2020-07-07,Y,070-8614-1518,702-839,대구광역시 북구 산격동 1423 ,41537,대구광역시 북구 연암공원로14길 46-1 (산격동),128.6044241,35.89593309,,
로드42(ROAD42),카페,휴게음식점,07_24_05_P,2021-04-09,Y,053-311-4242,702-806,대구광역시 북구 구암동 449 ,41473,"대구광역시 북구 구암로42길 3, 1, 2층 (구암동)",128.5630247,35.931029,"커피,에이드, 티, 디저트류",09:30-22:00
느린오후,카페,휴게음식점,07_24_05_P,2019-10-07,Y,,702-843,대구광역시 북구 산격동 1382-64 ,41567,대구광역시 북구 대현로9길 50 (산격동),128.6035598,35.88849285,커피,11:00 - 23:00
투썸플레이스대구연경점,카페,휴게음식점,07_24_05_P,2020-06-26,Y,0507-1493-1178,702-130,대구광역시 북구 연경동 954-3 ,41409,"대구광역시 북구 연경중앙로1길 16, 1,2층 (연경동)",128.6167709,35.94299676,아메리카노,매일 08:00 - 23:00
제리집,카페,휴게음식점,07_24_05_P,2020-08-25,Y,0507-1338-9173,702-040,대구광역시 북구 대현동 112-63 ,41569,"대구광역시 북구 경대로5길 26, 1층 (대현동)",128.6108605,35.88476868,제리라떼,평일 12:00 - 21:00 /토요일 12:00 - 20:00/일요일 휴무
아이니키즈시티랜드,카페,휴게음식점,07_24_05_P,2020-07-20,Y,053-352-1557,702-851,대구광역시 북구 칠성동2가 20-1 스펙트럼시티 ,41593,"대구광역시 북구 침산로 93, 스펙트럼시티 5층 (칠성동2가)",128.5897547,35.88507266,,
이디야커피대구팔달시장점,카페,휴게음식점,07_24_05_P,2020-08-19,Y,053-358-6467,702-812,대구광역시 북구 노원동2가 366 ,41558,"대구광역시 북구 팔달로35길 20, 1층 (노원동2가)",128.5701045,35.88943113,아메리카노,
밀프로젝트,카페,휴게음식점,07_24_05_P,2020-06-29,Y,,702-130,대구광역시 북구 연경동 960-3 ,41409,"대구광역시 북구 동화천로 237, 1층 103호 (연경동)",128.6169462,35.94261727,,
카페블레스롤 침산점,카페,휴게음식점,07_24_05_P,2020-07-14,Y,0507-1374-2350,702-073,대구광역시 북구 고성동3가 11-1 ,41594,"대구광역시 북구 옥산로 106-1, 1,2층 (고성동3가)",128.587123,35.8837016,빙수쉐이크,"매일 10:00 - 01:00 금,토요일은 02:00 까지"
위치커피산격점,카페,휴게음식점,07_24_05_P,2020-08-28,Y,053-383-1415,702-769,대구광역시 북구 산격동 500-1 산격대우아파트 ,41519,"대구광역시 북구 동북로 163, 101동 1층 103호 (산격동, 산격대우아파트)",128.611466,35.90056696,아메리카노,
하삼동커피대구동천점,카페,휴게음식점,07_24_05_P,2020-08-13,Y,053-321-3339,702-886,대구광역시 북구 동천동 931-1 ,41427,"대구광역시 북구 대천로 85, 대영빌딩 1층 101호 (동천동)",128.5586196,35.93725764,"커피, 스무디, 라떼",08:00-22:00
매스커피침산네거리점,카페,휴게음식점,07_24_05_P,2020-07-28,Y,070-8777-6767,702-050,대구광역시 북구 침산동 285-4 ,41560,"대구광역시 북구 침산로 144, 1층 (침산동)",128.591572,35.88925421,커피,08:30-21:30
할리스커피침산네거리점,카페,휴게음식점,07_24_05_P,2020-07-06,Y,053-353-5544,702-856,대구광역시 북구 침산동 222-7 ,41561,"대구광역시 북구 침산남로 157, 1(일부)층 (침산동)",128.5930139,35.88816994,"커피, 케이크",09:00-23:00
파리엔테스1호점,카페,휴게음식점,07_24_05_P,2021-05-25,Y,053-311-1666,702-885,대구광역시 북구 동천동 880-3 칠곡화성타운 ,41431,"대구광역시 북구 동천로 6, 105동 105호 (동천동, 칠곡화성타운)",128.559172,35.932142,"커피, 에이드",09:40-20:00
더리터복현아이파크점,카페,휴게음식점,07_24_05_P,2021-05-13,Y,053-939-5410,702-828,대구광역시 북구 복현동 201-3 ,41526,"대구광역시 북구 동북로 241, 301동 1층 107호 (복현동)",128.6181017,35.89635078,아주 홍시,
구움별,카페,휴게음식점,07_24_05_P,2021-05-17,Y,,702-912,대구광역시 북구 학정동 971-4 ,41417,"대구광역시 북구 학정동로 42, 태극빌딩 1층 (학정동)",128.5675681,35.94773125,"커피, 마들렌",10:00-20:00
위트커피연경점,카페,휴게음식점,07_24_05_P,2021-05-31,Y,0507-1438-7889,702-130,대구광역시 북구 연경동 931 연경우방아이유쉘 더포레스트 ,41409,"대구광역시 북구 연경중앙로11길 33, 상가동 1층 102호 (연경동, 연경우방아이유쉘 더포레스트)",128.6141886,35.94574518,치즈아메리카노,평일 09:00 - 21:00/토요일 09:00 - 21:00/일요일 10:00 - 21:00
카페봄봄(학정점),카페,휴게음식점,07_24_05_P,2020-09-14,Y,0507-1351-3816,702-911,대구광역시 북구 학정동 283-3 ,41405,"대구광역시 북구 학정로 533, 1층 (학정동)",128.5650345,35.95226315,아메리카노,매일 10:00 - 22:00
디스카운트커피,카페,휴게음식점,07_24_05_P,2020-09-14,Y,,702-845,대구광역시 북구 산격동 1779 ,41515,대구광역시 북구 유통단지로8길 121-14 (산격동),128.6164125,35.90921309,,
춘살롱,카페,휴게음식점,07_24_05_P,2020-09-04,Y,,702-849,대구광역시 북구 읍내동 1201-1 칠곡시장 ,41434,"대구광역시 북구 칠곡중앙대로 526, 칠곡시장 A동 상가3호 (읍내동)",128.5509948,35.9423737,,
마음가짐카페(Cafe),카페,휴게음식점,07_24_05_P,2020-09-09,Y,0507-1378-1739,702-830,대구광역시 북구 복현동 361-5 ,41530,"대구광역시 북구 복현로 18, 1층 (복현동)",128.6235798,35.89367886,아메리카노,매일 08:20 - 24:00
이디야커피대구연경점,카페,휴게음식점,07_24_05_P,2020-10-07,Y,053-984-0022,702-130,대구광역시 북구 연경동 962-3 ,41409,"대구광역시 북구 연경지묘로 2, 태왕아너스스퀘어 101,201호 (연경동)",128.615336,35.94221552,아메리카노,매일 09:00 - 23:00
공차대구복현점,카페,휴게음식점,07_24_05_P,2020-10-12,Y,053-954-3644,702-830,대구광역시 북구 복현동 364-4 ,41530,"대구광역시 북구 동북로 301, 1층 (복현동)",128.6229146,35.89245708,블랙밀크티,매일 07:00 - 23:00 연중무휴
커피제임스,카페,휴게음식점,07_24_05_P,2020-09-24,Y,,702-856,대구광역시 북구 침산동 241-1 ,41584,"대구광역시 북구 침산로 116, 1층 (침산동)",128.5914597,35.88669015,"커피, 디저트",07:30-17:00
로터스커피,카페,휴게음식점,07_24_05_P,2020-10-22,Y,,702-040,대구광역시 북구 대현동 257-9 ,41567,"대구광역시 북구 대현로9길 51-2, 1층 (대현동)",128.6034157,35.88818514,,
포인트커피(POINT COFFEE),카페,휴게음식점,07_24_05_P,2020-10-19,Y,053-313-1212,702-807,대구광역시 북구 구암동 695-2 칠곡건영아파트 ,41464,"대구광역시 북구 구암로32길 15, 105호 (구암동, 칠곡건영아파트)",128.558222,35.92953806,"커피, 스무디, 프라페",09:30-20:30
윤슬:다,카페,휴게음식점,07_24_05_P,2020-10-19,Y,053-752-6721,702-866,대구광역시 북구 태전동 1174 ,41471,"대구광역시 북구 매전로 46-18, 1층 (태전동)",128.5469894,35.90919949,아메리카노,
루아커피(Lua Coffee),카페,휴게음식점,07_24_05_P,2020-10-20,Y,0507-1316-3021,702-851,대구광역시 북구 칠성동2가 289-1 ,41587,"대구광역시 북구 칠성남로 129, 1층 (칠성동2가)",128.5944243,35.87801158,아메리카노,매일 08:00 - 20:30
몰타칠곡점,카페,휴게음식점,07_24_05_P,2020-10-14,Y,053-264-0067,702-886,대구광역시 북구 동천동 925-1 ,41427,대구광역시 북구 팔거천동로34길 12 (동천동),128.558929,35.93826912,바닐라빈 라떼,평일 11:00 - 01:00/토요일 12:00 - 01:00/일요일 12:00 - 21:40
카페느와르(Caf'e NOIR),카페,휴게음식점,07_24_05_P,2020-10-29,Y,,702-831,대구광역시 북구 복현동 425-4 ,41562,"대구광역시 북구 경진로1길 39, 1층 (복현동)",128.6171979,35.89516616,아메리카노,"매일 10:00 - 22:00/일요일 휴무 1,3째 일요일 휴무"
마시그래이칠성시장점,카페,휴게음식점,07_24_05_P,2020-10-26,Y,0507-1362-0866,702-852,대구광역시 북구 칠성동2가 302-222 ,41581,대구광역시 북구 칠성남로30길 32 (칠성동2가),128.5982634,35.87619549,아메리카노,평일 08:00 - 18:00/주말 08:00 - 18:00
러디커피(Ruddy coffee),카페,휴게음식점,07_24_05_P,2020-10-27,Y,0507-1347-4235,702-849,대구광역시 북구 읍내동 1338 제일연립주택 ,41438,"대구광역시 북구 칠곡중앙대로 454, 108동 108호 (읍내동, 제일연립주택)",128.5495906,35.93677675,아메리카노,평일 10:00 - 22:00/주말 12:00 - 22:00
달리는커피대구읍내점,카페,휴게음식점,07_24_05_P,2020-11-02,Y,053-321-3353,702-850,대구광역시 북구 읍내동 1448 SD 아이프라임 강북 ,41403,"대구광역시 북구 칠곡중앙대로125길 7, 상가 301동 308호 (읍내동, SD 아이프라임 강북)",128.5518842,35.95075071,아메리카노,목요일 휴무/평일 10:00 - 20:00/토요일 10:00 - 20:00/일요일 10:00 - 18:00
공차대구연경점,카페,휴게음식점,07_24_05_P,2020-11-02,Y,0507-1468-4778,702-130,대구광역시 북구 연경동 962-3 ,41409,"대구광역시 북구 연경지묘로 2, 태왕아너스스퀘어 105,106호 (연경동)",128.615336,35.94221552,블랙밀크티,매일 10:00 - 22:00
멜커피(Melcoffee),카페,휴게음식점,07_24_05_P,2020-11-06,Y,053-320-1912,702-886,대구광역시 북구 동천동 952-4 대구보건대학교부설 대구보건대학교병원 ,41422,"대구광역시 북구 팔거천동로 209, 대구보건대학교부설 대구보건대학교병원 1층 (동천동)",128.5576896,35.94280027,카페라떼,평일 08:00 - 18:00/토요일 08:00 - 14:00/일요일 휴무
그카페&스몰팩토리,카페,휴게음식점,07_24_05_P,2020-11-18,Y,,702-805,대구광역시 북구 구암동 809-1 ,41472,"대구광역시 북구 구암로60길 41, 2층 (구암동)",128.5695656,35.93853239,,
히즈윌,카페,휴게음식점,07_24_05_P,2020-11-13,Y,,702-868,대구광역시 북구 태전동 961-20 ,41451,"대구광역시 북구 칠곡중앙대로 385-2, 1층 (태전동)",128.5477111,35.93026295,아메리카노,
카페토스피아(이마트칠성점),카페,휴게음식점,07_24_05_P,2021-04-19,Y,,702-851,대구광역시 북구 칠성동2가 20-1 스펙트럼시티 ,41593,"대구광역시 북구 침산로 93, 스펙트럼시티 이마트칠성점 지하1층 (칠성동2가)",128.5897547,35.88507266,,
콩테커피,카페,휴게음식점,07_24_05_P,2021-04-07,Y,0507-1374-5942,702-800,대구광역시 북구 검단동 1067-4 ,41511,"대구광역시 북구 검단동로4길 11, 1층 (검단동)",128.6267745,35.91356554,딸기라떼,평일 11:00 - 19:00/토요일 11:00 - 19:00/일요일 휴무
더드림커피대구침산1호점,카페,휴게음식점,07_24_05_P,2021-04-09,Y,053-721-7606,702-855,대구광역시 북구 침산동 10-14 ,41577,"대구광역시 북구 중앙대로118길 19, 1층 (침산동)",128.5983577,35.8843948,"커피, 빙수",10:00-22:00
육십오도시(65℃),카페,휴게음식점,07_24_05_P,2021-04-05,Y,,702-838,대구광역시 북구 산격동 1183-21 ,41538,대구광역시 북구 연암공원로 79-1 (산격동),128.6007109,35.89742871,커피,매일 09:00 - 20:30
이디야커피대구매천점,카페,휴게음식점,07_24_05_P,2021-04-06,Y,053-322-8488,702-270,대구광역시 북구 매천동 736 ,41487,"대구광역시 북구 매전로4길 14, 1층 (매천동)",128.5433737,35.90729631,토피넛 플래치노,평일 08:00 - 22:00/토요일 08:00 - 22:00/일요일 08:30 - 22:00
믹스커피,카페,휴게음식점,07_24_05_P,2021-03-26,Y,053-311-0889,702-876,대구광역시 북구 국우동 747 ,41408,"대구광역시 북구 구리로 183-35, 복지회관 1층 (국우동)",128.5720394,35.94828292,"커피, 디저트",
위치커피대구복현행복점,카페,휴게음식점,07_24_05_P,2021-03-31,Y,0507-1493-7835,702-827,대구광역시 북구 복현동 37 ,41522,"대구광역시 북구 복현로36길 6, 대구복현행복주택상가동 1호 (복현동)",128.6201319,35.9045341,아메리카노,평일 09:00 - 21:00/토요일 09:00 - 21:00/일요일 휴무
(주)바론더카페,카페,휴게음식점,07_24_05_P,2021-04-20,Y,,702-885,대구광역시 북구 동천동 896-2 칠곡메가타운 ,41423,"대구광역시 북구 학정로 439, 칠곡메가타운 7층 (동천동)",128.5633037,35.94383351,,
라라빈,카페,휴게음식점,07_24_05_P,2021-04-20,Y,0507-1441-6366,702-850,대구광역시 북구 읍내동 1357 ,41436,"대구광역시 북구 팔거천서로35길 5-1, 1층 (읍내동)",128.5559384,35.93948382,아메리카노,매일 09:00 - 20:00/일요일 휴무 매주
박쌤커피,카페,휴게음식점,07_24_05_P,2021-04-21,Y,,702-832,대구광역시 북구 복현동 473-2 ,41564,"대구광역시 북구 경대로27길 6, 1층 (복현동)",128.6204546,35.89191448,커피,
티엠알커피(tmr coffee),카페,휴게음식점,07_24_05_P,2021-04-16,Y,0507-1395-4511,702-803,대구광역시 북구 관음동 1353-8 ,41444,"대구광역시 북구 관음동로 55-2, 1층 (관음동)",128.5469569,35.93786217,아메리카노,"평일 11:30 - 21:00/금,토,일요일 12:00 - 22:00/월요일 휴무 "
더리터대구태전동점,카페,휴게음식점,07_24_05_P,2021-03-17,Y,053-311-8588,702-868,대구광역시 북구 태전동 943-3 ,41451,"대구광역시 북구 영송로 66, 1층 (태전동)",128.5446343,35.93117616,아주 홍시,
우유담:따,카페,휴게음식점,07_24_05_P,2021-03-17,Y,,702-886,대구광역시 북구 동천동 933-2 ,41430,"대구광역시 북구 대천로 80, 1층 102호 (동천동)",128.5579839,35.93680037,케이크,11:00-20:00
카페베네,카페,휴게음식점,07_24_05_P,2011-04-01,Y,053-326-5525,702-868,대구광역시 북구 태전동 981-2번지 (1층) ,41452,"대구광역시 북구 칠곡중앙대로69길 11, 1층 (태전동)",128.5460309,35.9266312,아메리카노, 평일 11:00 - 23:00
델문도커피숍,카페,휴게음식점,07_24_05_P,2011-04-01,N,,702-832,대구광역시 북구 복현동 681번지 ,41565,대구광역시 북구 경대로 109 (복현동),128.6182579,35.89014579,,
칼디커피,카페,휴게음식점,07_24_05_P,2011-04-12,Y,053-959-6741,702-040,대구광역시 북구 대현동 119-51번지 ,41569,대구광역시 북구 경대로7길 35 (대현동),128.6101044,35.88557633,"커피, 음료",
루머팡,카페,휴게음식점,07_24_05_P,2011-04-22,Y,053-939-9079,702-829,대구광역시 북구 복현동 268-23번지 ,41528,대구광역시 북구 복현로 80-1 (복현동),128.6230343,35.89884145,아메리카노,
커피볶는다락방,카페,휴게음식점,07_24_05_P,2011-04-26,Y,053-353-0988,702-856,대구광역시 북구 침산동 338-8번지 ,41560,대구광역시 북구 침산로 172 (침산동),128.5901623,35.89148708,커피,09:00-21:00
솔커피,카페,휴게음식점,07_24_05_P,2020-09-16,Y,,702-809,대구광역시 북구 노원동1가 9-20 한솔우드타운 ,41589,"대구광역시 북구 원대로25길 10, 지하1층 (노원동1가, 한솔우드타운)",128.5818352,35.88896096,,
더드림커피,카페,휴게음식점,07_24_05_P,2020-09-14,Y,053-721-7960,702-800,대구광역시 북구 검단동 987-1 ,41521,"대구광역시 북구 검단로 166, 1층 (검단동)",128.6244159,35.90969432,아메리카노,매일 10:30 - 21:00
힉스커피,카페,휴게음식점,07_24_05_P,2001-04-28,Y,,702-868,대구광역시 북구 태전동 979-1 ,41452,대구광역시 북구 칠곡중앙대로69길 19 (태전동),128.5450698,35.92679082,,
뤼미에르(Lumiere),카페,휴게음식점,07_24_05_P,2021-03-29,Y,0507-1311-7941,702-851,대구광역시 북구 칠성동2가 73-2 ,41587,"대구광역시 북구 칠성로 4, 1층 (칠성동2가)",128.5898033,35.88035481,레몬케이크,매일 10:30 - 09:30 매달 둘째주/넷째주 화요일 휴무
달리는커피대구산격1호점,카페,휴게음식점,07_24_05_P,2021-03-25,Y,053-954-4470,702-869,대구광역시 북구 산격동 1203-38 ,41534,"대구광역시 북구 동북로 134, 1층 (산격동)",128.6078232,35.90091236,"커피,샐러드",평일 09:00 - 20:00/토요일 10:00 - 23:00 일요일 휴무
구공카페팔달점,카페,휴게음식점,07_24_05_P,2021-04-08,Y,053-566-9090,702-816,대구광역시 북구 노원동3가 762 ,41557,"대구광역시 북구 팔달로 147, 1층 (노원동3가)",128.5661946,35.88937135,아메리카노,매일 08:00 - 20:00
미소통신,카페,휴게음식점,07_24_05_P,2021-04-08,Y,053-324-6112,702-850,대구광역시 북구 읍내동 1366-3 칠곡코스모스한양아파트 ,41437,"대구광역시 북구 구암로21길 6, 상가동 102호 (읍내동, 칠곡코스모스한양아파트)",128.5533624,35.9331574,,
카페보통의하루,카페,휴게음식점,07_24_05_P,2021-02-18,Y,,702-842,대구광역시 북구 산격동 1327-22 ,41544,"대구광역시 북구 대학로23길 17, 1층 (산격동)",128.6101137,35.89424768,"커피, 음료",
비아에스프레쏘클럽(via espresso club),카페,휴게음식점,07_24_05_P,2021-03-02,Y,053-353-4954,702-073,대구광역시 북구 고성동3가 50-5 ,41596,"대구광역시 북구 고성북로 43-12, 1층 (고성동3가)",128.5831363,35.88382244,도피오 넛츠,평일 08:00 - 20:00/토요일 10:00 - 20:00 일요일 휴무
단비커피(DAN:B COFFEE),카페,휴게음식점,07_24_05_P,2021-02-23,Y,0507-1485-1881,702-130,대구광역시 북구 연경동 962-3 ,41409,"대구광역시 북구 연경지묘로 2, 115호 (연경동)",128.615336,35.94221552,아메리카노,매일 10:00 - 21:00 매주 수요일 휴무
커피팔이,카페,휴게음식점,07_24_05_P,2021-03-12,Y,0507-1445-8306,702-260,대구광역시 북구 태전동 1215 ,41452,"대구광역시 북구 영송로 36, 1층 102호 (태전동)",128.5448432,35.92879247,아메리카노,매일 09:00 - 19:00
옐랑옐랑,카페,휴게음식점,07_24_05_P,2021-03-24,Y,053-939-0607,702-840,대구광역시 북구 산격동 1279-5 ,41536,"대구광역시 북구 대동로 56, 1층 (산격동)",128.6125744,35.89600602,아메리카노,매일 11:30 - 21:00
더리터대구사수점,카페,휴게음식점,07_24_05_P,2021-02-15,Y,,702-310,대구광역시 북구 사수동 812 서희스타힐스테이 ,41492,"대구광역시 북구 내곡로 90, 근린생활시설1동 상가3호 (사수동, 서희스타힐스테이)",128.5142543,35.90028121,아메리카노,매일 08:00 - 20:00
케이원,카페,휴게음식점,07_24_05_P,2021-02-15,Y,,702-843,대구광역시 북구 산격동 1382-33 ,41543,"대구광역시 북구 대학로 5, 3층 301호 (산격동)",128.6022414,35.88857596,,
카페방구석,카페,휴게음식점,07_24_05_P,2021-03-16,Y,,702-858,대구광역시 북구 침산동 476-36 ,41550,"대구광역시 북구 성북로 33-2, 2층 (침산동)",128.5873794,35.89127744,,
오!봉순,카페,휴게음식점,07_24_05_P,2021-03-16,Y,0507-1472-1069,702-073,대구광역시 북구 고성동3가 102-5 ,41596,"대구광역시 북구 고성북로 21-1, 1층 (고성동3가)",128.582786,35.88191204,아메리카노,매일 10:01 - 23:01
커피아지트,카페,휴게음식점,07_24_05_P,2021-04-14,Y,,702-072,대구광역시 북구 고성동2가 89-4 ,41595,"대구광역시 북구 칠성남로 37, 1층 (고성동2가)",128.5845581,35.87973007,,
플랜연경점,카페,휴게음식점,07_24_05_P,2021-04-14,Y,0507-1442-0320,702-130,대구광역시 북구 연경동 956 ,41409,"대구광역시 북구 연경중앙로 5, 1층 110호 (연경동)",128.617974,35.94325539,스카치크림라떼,평일 08:00 - 21:00/주말 08:00 - 20:00
미지미카페,카페,휴게음식점,07_24_05_P,2021-03-10,Y,,702-869,대구광역시 북구 산격동 1195-113 ,41537,"대구광역시 북구 산격로11길 24, 1층 (산격동)",128.6027064,35.89588214,커피,매일 11:00 - 21:00/월요일 휴무
카페봄봄,카페,휴게음식점,07_24_05_P,2011-02-22,Y,,702-842,대구광역시 북구 산격동 1327-11번지 ,41544,대구광역시 북구 대학로23길 19 (산격동),128.6099576,35.89409532,"커피, 음료",09:00-21:00
일청담카페,카페,휴게음식점,07_24_05_P,2011-03-02,Y,053-950-6041,702-842,대구광역시 북구 산격동 1370-1 경북대복지관내 ,41566,"대구광역시 북구 대학로 80 (산격동, 경북대복지관내)",128.6104653,35.89158379,"커피, 디저트",
디와이지이,카페,휴게음식점,07_24_05_P,2013-05-30,Y,053-314-7178,702-885,대구광역시 북구 동천동 895-2번지 (4층) ,41423,"대구광역시 북구 동암로 100, 4층 (동천동)",128.5617179,35.94405961,,
투썸플레이스대구침산점,카페,휴게음식점,07_24_05_P,2013-06-11,Y,053-354-0256,702-857,대구광역시 북구 침산동 430-17번지 ,41590,대구광역시 북구 옥산로17길 47 (침산동),128.5860293,35.88859303,"커피, 케이크",10:00-24:00
