,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
497,497,진천동 감성커피 월배점,감성커피 월배점,4.61,211,26,대구 달서구 월배로 165 1층,11:00 - 22:00,0507-1354-1362,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '88', '친절해요': '58', '가성비가 좋아요': '54', '음료가 맛있어요': '46', '디저트가 맛있어요': '31', '매장이 청결해요': '27', '인테리어가 멋져요': '24', '특별한 메뉴가 있어요': '22', '대화하기 좋아요': '21', '좌석이 편해요': '10', '뷰가 좋아요': '9', '집중하기 좋아요': '4', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '2', '주차하기 편해요': '1'}"
498,498,상인2동 댕쓰커피,댕쓰커피,4,30,초기값,대구 달서구 월배로 166 탑스빌딩 1층 댕쓰커피,10:00 - 19:00,0507-1358-9499,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '10', '친절해요': '10', '음료가 맛있어요': '5', '가성비가 좋아요': '5', '매장이 청결해요': '5', '디저트가 맛있어요': '3', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '주차하기 편해요': '1'}"
499,499,상인2동 슈드해브커피,슈드해브커피,4.77,539,210,대구 달서구 월배로 176 2층,NO INFO,053-633-6633,https://www.instagram.com/shouldhave_coffee,"""기본에 충실한 커피를 제공합니다. Should Have + Coffee 대로변 2층이라 주차장이 따로 없습니 다""",공사중,"{'커피가 맛있어요': '357', '디저트가 맛있어요': '175', '친절해요': '150', '음료가 맛있어요': '131', '인테리어가 멋져요': '113', '매장이 청결해요': '106', '대화하기 좋아요': '75', '좌석이 편해요': '68', '뷰가 좋아요': '64', '특별한 메뉴가 있어요': '61', '집중하기 좋아요': '55', '가성비가 좋아요': '49', '사진이 잘 나와요': '45', '화장실이 깨끗해요': '29', '차분한 분위기에요': '1', '빵이 맛있어요': '1', '컨셉이 독특해요': '1', '음악이 좋아요': '1', '주차하기 편해요': '1', '오래 머무르기 좋아요': '1'}"
500,500,상인1동 몬스터커피 상인점,몬스터커피 상인점,4.68,289,11,대구 달서구 월배로 199,NO INFO,053-201-0115,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '93', '가성비가 좋아요': '59', '친절해요': '45', '음료가 맛있어요': '43', '매장이 청결해요': '15', '특별한 메뉴가 있어요': '13', '디저트가 맛있어요': '8', '대화하기 좋아요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
501,501,상인2동 카페봄봄 월배점,카페봄봄 월배점,4.68,153,초기값,대구 달서구 월배로 206,08:30 - 21:30,053-721-8008,http://www.cafebombom.co.kr/,"""저희 카페봄봄은 최상급으로 엄선된 스페셜티 블 렌딩 원두를 사용하여 깊은맛과 향을 제공해드리 고 있습니다 또한 다양한 음료와 디저트도...""",공사중,"{'커피가 맛있어요': '44', '가성비가 좋아요': '30', '음료가 맛있어요': '27', '친절해요': '15', '디저트가 맛있어요': '7', '특별한 메뉴가 있어요': '5', '매장이 청결해요': '4', '인테리어가 멋져요': '2', '사진이 잘 나와요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"
502,502,상인2동 하삼동커피 상인역3번출구점,하삼동커피 상인역3번출구점,초기값,21,1,대구 달서구 월배로 220 1층,"07:30 - 22:00
21:40 라스트오더",0507-1437-0803,NO INFO,"""개인카페경력이 있는 점주가 매일아침 하삼동만의 시그니처 원두로 원두의 맛을 조절하여 맛있는 커피를 드실 수 있습니다 :) 또 상인역 3번출구 정말 바로 앞에 위치해 있어요!""",공사중,"{'친절해요': '11', '가성비가 좋아요': '11', '커피가 맛있어요': '8', '좌석이 편해요': '3', '음료가 맛있어요': '3', '매장이 청결해요': '2', '인테리어가 멋져요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '특별한 메뉴가 있어요': '1'}"
503,503,상인1동 공차 롯데상인점,공차 롯데백화점 상인점,4.39,354,초기값,대구 달서구 월배로 232 지하1층,10:30 - 20:00,053-258-2007,NO INFO,"""NO INFO""",공사중,"{'음료가 맛있어요': '81', '차가 맛있어요': '47', '친절해요': '22', '특별한 메뉴가 있어요': '15', '매장이 청결해요': '12', '주차하기 편해요': '9', '디저트가 맛있어요': '7', '가성비가 좋아요': '6', '화장실이 깨끗해요': '3', '좌석이 편해요': '2', '대화하기 좋아요': '2', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
504,504,송현2동 마시그래이 월촌역점,마시그래이 월촌역점,4.17,86,초기값,대구 달서구 월배로 329,09:00 - 22:00,053-657-5901,NO INFO,"""NO INFO""",공사중,"{'친절해요': '30', '커피가 맛있어요': '28', '가성비가 좋아요': '25', '음료가 맛있어요': '21', '매장이 청결해요': '11', '좌석이 편해요': '2', '디저트가 맛있어요': '2', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
505,505,유천동 카페 힘(cafe hymn),카페 힘,4.49,101,초기값,대구 달서구 월배로 33-16 1층,"10:00 - 21:00
20:30 라스트오더",0506-725-2445,https://blog.naver.com/cafe__hymn,"""NO INFO""",공사중,"{'커피가 맛있어요': '17', '디저트가 맛있어요': '11', '친절해요': '10', '음료가 맛있어요': '9', '매장이 청결해요': '9', '대화하기 좋아요': '9', '가성비가 좋아요': '7', '사진이 잘 나와요': '3', '좌석이 편해요': '2', '주차하기 편해요': '2', '집중하기 좋아요': '2', '인테리어가 멋져요': '1', '화장실이 깨끗해요': '1'}"
506,506,송현1동 서로커피,서로커피 송현점,초기값,52,8,대구 달서구 월배로 340 102동 15호,NO INFO,0507-1375-8302,NO INFO,"""안녕하세요 국내최초 발아해서 만든 진하고 향이좋은 커피전문점 서로커피입니다~건강에도 좋은 쌀로만든 호두과자도 추천드려요~^^""",공사중,"{'친절해요': '31', '디저트가 맛있어요': '26', '커피가 맛있어요': '23', '가성비가 좋아요': '15', '음료가 맛있어요': '14', '매장이 청결해요': '14', '특별한 메뉴가 있어요': '6', '집중하기 좋아요': '2', '대화하기 좋아요': '2'}"
507,507,송현2동 포레스트플로어,포레스트 플로어,4.6,56,537,대구 달서구 월배로 356-1,10:00 - 24:00,0507-1305-2547,http://www.forestfloor.co.kr,"""식물과 커피가 있는 식물 카페입니다.""",공사중,"{'커피가 맛있어요': '16', '인테리어가 멋져요': '9', '친절해요': '8', '대화하기 좋아요': '7', '음료가 맛있어요': '6', '뷰가 좋아요': '5', '좌석이 편해요': '3', '디저트가 맛있어요': '3', '사진이 잘 나와요': '3', '가성비가 좋아요': '3', '화장실이 깨끗해요': '3', '주차하기 편해요': '2', '집중하기 좋아요': '2', '특별한 메뉴가 있어요': '1'}"
508,508,송현1동 이디야커피 대구송현점,이디야커피 대구송현점,4.45,490,14,대구 달서구 월배로 379,"10:30 - 23:00
22:30 라스트오더",053-654-0700,http://www.ediya.com/,"""Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.""",공사중,"{'커피가 맛있어요': '116', '친절해요': '59', '음료가 맛있어요': '52', '가성비가 좋아요': '50', '매장이 청결해요': '42', '디저트가 맛있어요': '35', '대화하기 좋아요': '32', '주차하기 편해요': '27', '좌석이 편해요': '26', '집중하기 좋아요': '25', '인테리어가 멋져요': '11', '특별한 메뉴가 있어요': '8', '사진이 잘 나와요': '7', '화장실이 깨끗해요': '4', '뷰가 좋아요': '2', '차분한 분위기에요': '1'}"
509,509,송현1동 카페다올,카페다올,초기값,32,4,대구 달서구 월배로 398,09:30 - 20:00,0507-1366-2677,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '8', '음료가 맛있어요': '4', '친절해요': '4', '가성비가 좋아요': '4', '디저트가 맛있어요': '3', '인테리어가 멋져요': '2', '주차하기 편해요': '1', '매장이 청결해요': '1', '집중하기 좋아요': '1'}"
510,510,송현1동 모네꽃을그리다,"모네, 꽃을 그리다",초기값,60,10,대구 달서구 월배로 424 1층,10:00 - 22:00,053-656-6323,NO INFO,"""커피와 꽃을 함께 만나 보실 수 있습니다. 스페셜 원두로 깊은 커피의 풍미를 느낄수 있습니다.""",공사중,"{'친절해요': '10', '매장이 청결해요': '10', '커피가 맛있어요': '9', '대화하기 좋아요': '9'}"
511,511,대명11동 더리터 송현점,더리터 송현점,4.75,132,초기값,대구 달서구 월배로 454,09:00 - 21:00,070-7537-2335,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '52', '가성비가 좋아요': '46', '친절해요': '39', '음료가 맛있어요': '31', '매장이 청결해요': '11', '디저트가 맛있어요': '8', '특별한 메뉴가 있어요': '4', '좌석이 편해요': '3', '인테리어가 멋져요': '2', '집중하기 좋아요': '1', '대화하기 좋아요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
512,512,대명11동 설빙 대구서부점,설빙 대구서부점,4.32,154,48,대구 달서구 월배로 483,"12:00 - 22:30
22:00 라스트오더",053-622-0230,NO INFO,"""좋은 재료로 만든 건강한 한국식 디저트로 상상하는 그 이상의 맛을 보여드립니다.""",공사중,"{'디저트가 맛있어요': '34', '친절해요': '19', '특별한 메뉴가 있어요': '19', '음료가 맛있어요': '12', '대화하기 좋아요': '12', '커피가 맛있어요': '9', '가성비가 좋아요': '9', '매장이 청결해요': '8', '좌석이 편해요': '7', '인테리어가 멋져요': '5', '집중하기 좋아요': '3', '주차하기 편해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
513,513,대명11동 카페051 대구서부정류장점,카페051 대구서부정류장점,초기값,73,4,대구 달서구 월배로 493 1층,09:00 - 21:00,053-657-1051,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '38', '가성비가 좋아요': '28', '음료가 맛있어요': '24', '친절해요': '21', '매장이 청결해요': '17', '디저트가 맛있어요': '6', '인테리어가 멋져요': '4', '특별한 메뉴가 있어요': '4', '집중하기 좋아요': '4', '대화하기 좋아요': '3', '좌석이 편해요': '2'}"
514,514,유천동 투썸플레이스 대구진천아이팜메디타워점,투썸플레이스 진천아이팜메디타워점,4.51,705,18,대구 달서구 월배로 58 아이팜메디타워,08:00 - 22:00,053-635-5755,http://www.twosome.co.kr/,"""달서구 진천동에 새로 생긴 프리미엄 디저트카페 투썸플레이스 입니다. 건물 뒤편 넓은 주차공간 과 1층 및 넓고 포근한 2층으로 되어 있으...""",공사중,"{'커피가 맛있어요': '124', '음료가 맛있어요': '84', '친절해요': '80', '매장이 청결해요': '73', '디저트가 맛있어요': '68', '좌석이 편해요': '62', '대화하기 좋아요': '51', '집중하기 좋아요': '34', '인테리어가 멋져요': '28', '주차하기 편해요': '25', '화장실이 깨끗해요': '21', '뷰가 좋아요': '16', '가성비가 좋아요': '14', '특별한 메뉴가 있어요': '6', '사진이 잘 나와요': '4', '매장이 넓어요': '1', '오래 머무르기 좋아요': '1'}"
515,515,진천동 더벤티 대구진천역점,더벤티 대구진천역점,4.51,187,초기값,대구 달서구 월배로 64 1층,08:00 - 21:00,053-633-4591,http://theventi.co.kr/,"""*매장 운영 시간 및 휴무일은 매장 별로 상이합니다. *위 메뉴 금액은 Take out 구매 기준입니다.""",공사중,"{'커피가 맛있어요': '50', '음료가 맛있어요': '33', '가성비가 좋아요': '28', '친절해요': '25', '디저트가 맛있어요': '20', '특별한 메뉴가 있어요': '15', '사진이 잘 나와요': '13', '뷰가 좋아요': '12', '대화하기 좋아요': '11', '매장이 청결해요': '10', '좌석이 편해요': '8', '인테리어가 멋져요': '8', '화장실이 깨끗해요': '6', '집중하기 좋아요': '5', '주차하기 편해요': '4'}"
516,516,진천동 매머드익스프레스 대구진천역점,매머드익스프레스 대구진천역점,초기값,744,16,대구 달서구 월배로 71 트윈팰리스 상가,08:00 - 21:00,0507-1343-2004,https://baemin.me/jXp5SuCuQ,"""* 저희 매머드 익스프레스는 매머드 로스팅 공장에서 자체 로스팅한 최상급 블렌딩 원두와 스타벅스에도 사용되는 고가의 전자동 커피머신인 써모플랜으로 탄맛, 쓴맛이 없이 늘 일정한 맛과 양의 에스프레소를 추출해내어 변함없는 풍미의 고소~한 커피 맛을 유지하고 있습니다 : )

* '익스프레스' 라는 이름에 걸맞게 빠른 시간내에 음료를 제조하여 드리고 있으며, 키오스크 비대면 주문으로 편리하게 이용하실 수 있습니다!

* 저렴한 가격에 고퀄리티의 맛과 양 그리고 친절한 서비스까지, 고객만족을 위해 최선을 다하고 있는 매머드 진천역점! 많이 사랑해주세요~~ 감사합니다!""",공사중,"{'커피가 맛있어요': '244', '가성비가 좋아요': '190', '친절해요': '118', '음료가 맛있어요': '117', '매장이 청결해요': '67', '디저트가 맛있어요': '39', '특별한 메뉴가 있어요': '17', '인테리어가 멋져요': '16', '대화하기 좋아요': '7', '뷰가 좋아요': '7', '집중하기 좋아요': '6', '사진이 잘 나와요': '5', '주차하기 편해요': '3', '좌석이 편해요': '2'}"
517,517,진천동 천씨씨커피 대구진천역점,천씨씨커피 진천역점,4.78,107,초기값,대구 달서구 월배로 77 준재빌딩 102호,10:00 - 21:00,0507-1465-5611,https://1000cccoffee.modoo.at,"""크고 싸고 맛있다""",공사중,"{'가성비가 좋아요': '42', '커피가 맛있어요': '38', '친절해요': '24', '음료가 맛있어요': '21', '디저트가 맛있어요': '12', '매장이 청결해요': '12', '인테리어가 멋져요': '5', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2', '뷰가 좋아요': '2', '좌석이 편해요': '1', '사진이 잘 나와요': '1'}"
518,518,진천동 하삼동커피 대구 진천역점,하삼동커피 진천역점,초기값,1153,13,대구 달서구 월배로 80,"08:00 - 22:30
22:20 라스트오더",053-270-3335,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '386', '가성비가 좋아요': '171', '음료가 맛있어요': '167', '친절해요': '123', '디저트가 맛있어요': '58', '매장이 청결해요': '39', '특별한 메뉴가 있어요': '36', '인테리어가 멋져요': '19', '대화하기 좋아요': '13', '좌석이 편해요': '10', '사진이 잘 나와요': '9', '집중하기 좋아요': '7', '주차하기 편해요': '6', '화장실이 깨끗해요': '5', '뷰가 좋아요': '4'}"
519,519,진천동 와플칸 대구진천점,와플칸 진천점,초기값,198,5,대구 달서구 월배로 80 대성스카이렉스 401동 116호,"11:00 - 22:00
21:45 라스트오더",0507-1324-0705,https://baemin.me/nXGnGEo2m,"""프리미엄 와플 , 커피 전문점 입니다.""",공사중,"{'디저트가 맛있어요': '126', '친절해요': '42', '가성비가 좋아요': '39', '매장이 청결해요': '28', '커피가 맛있어요': '24', '음료가 맛있어요': '21', '특별한 메뉴가 있어요': '21', '인테리어가 멋져요': '9', '좌석이 편해요': '8', '주차하기 편해요': '6', '대화하기 좋아요': '6', '사진이 잘 나와요': '4', '집중하기 좋아요': '2', '뷰가 좋아요': '2'}"
520,520,진천동 헬리빈커피 진천역점,헬리빈커피 진천역점,초기값,274,22,대구 달서구 월배로 80 상가 401동 118호,NO INFO,053-644-6777,https://cafe.naver.com/,"""커피전문기업 (주)헬리빈 본사에서
직접 로스팅한 [프리미엄 원두]
아라비카 품종 100% 햇 콩 사용
프리미엄 원두로 만들어진 
퀼리티 높은 [아메리카노]
부드러운 바디감과 깔끔한 뒷 맛
깊은 향과 오랜 여운이 있는
프리미엄 커피를 선사합니다

매장에서 직접 굽는 수제와플
커피랑 함께하는 고급와플
매일 아침 진심을 다하는
헬리빈 다양한 [수제와플]
다양하고 맛있는 헬리빈의 대표 디저트""",공사중,"{'커피가 맛있어요': '137', '가성비가 좋아요': '79', '친절해요': '66', '디저트가 맛있어요': '52'}"
521,521,유천동 카페보스,카페보스 진천역점,4.17,84,49,대구 달서구 월배로 80 진천역대성스카이렉스 401동 1층 107호,"09:00 - 01:00
00:30 라스트오더",0507-1357-4663,https://www.instagram.com/cafeboss_80,"""카페보스 진천역점 입니다. 오늘도 저희 매장을 찾아주시는 모든 고객분들께 감사드리며 항상 만 족스러운 맛과 정성으로 청결과 위생을 지...""",공사중,"{'디저트가 맛있어요': '32', '커피가 맛있어요': '25', '친절해요': '21', '음료가 맛있어요': '18', '특별한 메뉴가 있어요': '18', '가성비가 좋아요': '12', '매장이 청결해요': '9', '인테리어가 멋져요': '7', '주차하기 편해요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '3', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '음식이 맛있어요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
522,522,진천동 만랩커피 대구진천역점,만랩커피 진천역점,4.36,301,초기값,대구 달서구 월배로 80 진천역대성스카이렉스아파트상가 1층 105호,NO INFO,0507-1346-3582,http://www.10000lab.com/,"""테이크아웃 주문은 10%할인해드립니다 적립도 해드리구요""",공사중,"{'커피가 맛있어요': '77', '음료가 맛있어요': '33', '친절해요': '32', '가성비가 좋아요': '32', '매장이 청결해요': '12', '대화하기 좋아요': '12', '디저트가 맛있어요': '10', '좌석이 편해요': '8', '인테리어가 멋져요': '8', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '3', '주차하기 편해요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '1'}"
523,523,진천동 카페봄봄 진천점,카페봄봄진천점,4.42,470,초기값,대구 달서구 월배로 92,NO INFO,053-634-3388,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '154', '친절해요': '98', '가성비가 좋아요': '54', '음료가 맛있어요': '46', '디저트가 맛있어요': '14', '매장이 청결해요': '7', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '2', '뷰가 좋아요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '대화하기 좋아요': '1'}"
524,524,진천동 빽다방 대구진천역점,빽다방 대구진천역점,4.49,592,16,대구 달서구 월배로 96,08:00 - 21:30,053-633-8780,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '138', '가성비가 좋아요': '110', '음료가 맛있어요': '90', '친절해요': '71', '매장이 청결해요': '39', '디저트가 맛있어요': '28', '특별한 메뉴가 있어요': '22', '대화하기 좋아요': '19', '좌석이 편해요': '15', '인테리어가 멋져요': '15', '사진이 잘 나와요': '4', '주차하기 편해요': '3', '집중하기 좋아요': '3', '화장실이 깨끗해요': '3', '뷰가 좋아요': '1'}"
525,525,진천동 커피쿡 대구진천점,커피쿡 대구진천점,4.48,106,초기값,대구 달서구 월배로 97,08:00 - 19:00,053-241-2525,NO INFO,"""항상 창의적이고 신선한 아이디어로 퍼플오션을 만들어 가는 기업의 핵심가치 아래 끊임없는 개발과 노력으로 합리적인 가격, 높은 퀄리티의 폭넓은 메뉴 구성을 창출합니다.
(주)빅트리컴퍼니는 가맹 계약을 맺은 고객님과의 소중한 인연을 기업과 소비자의 관계가 아닌 평생의 파트너로써 언제나 든든하게 함께할 수 있는 가족이 되겠습니다.
점주님들이 곧 본사입니다.""",공사중,"{'커피가 맛있어요': '34', '음료가 맛있어요': '17', '친절해요': '13', '가성비가 좋아요': '11', '매장이 청결해요': '11', '디저트가 맛있어요': '10', '대화하기 좋아요': '7', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
526,526,유천동 카페051 대구월배점,카페051 대구월배점,초기값,77,초기값,대구 달서구 월배로11길 32 104호,NO INFO,0507-1407-1063,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '36', '가성비가 좋아요': '27', '음료가 맛있어요': '23', '친절해요': '15', '매장이 청결해요': '9', '특별한 메뉴가 있어요': '8', '디저트가 맛있어요': '7', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '화장실이 깨끗해요': '1'}"
527,527,유천동 더바나,더바나,초기값,511,261,"대구 달서구 월배로15길 8 , 595b 1F",11:00 - 22:00,053-633-4300,NO INFO,"""595b 1 - 2F 베이커리 카페""",공사중,"{'커피가 맛있어요': '92', '인테리어가 멋져요': '43', '매장이 청결해요': '43', '음료가 맛있어요': '40', '친절해요': '35', '주차하기 편해요': '32', '대화하기 좋아요': '29', '디저트가 맛있어요': '26', '좌석이 편해요': '23', '특별한 메뉴가 있어요': '14', '사진이 잘 나와요': '12', '화장실이 깨끗해요': '11', '집중하기 좋아요': '10', '가성비가 좋아요': '4'}"
528,528,진천동 하어스 코지 HAUS COZY,하어스코지,초기값,105,36,"대구 달서구 월배로23길 30 1F, 2F",NO INFO,0507-1431-2335,https://www.instagram.com/haus_cozyhh,"""하어스코지까페 x 도쿄빙수""",공사중,"{'커피가 맛있어요': '43', '친절해요': '41', '인테리어가 멋져요': '39', '매장이 청결해요': '36', '좌석이 편해요': '28', '음료가 맛있어요': '25', '주차하기 편해요': '24', '디저트가 맛있어요': '23', '대화하기 좋아요': '17', '사진이 잘 나와요': '11', '특별한 메뉴가 있어요': '11', '화장실이 깨끗해요': '9', '집중하기 좋아요': '5', '뷰가 좋아요': '4', '음악이 좋아요': '1'}"
529,529,월성1동 알파커피,알파커피,4.53,79,67,대구 달서구 월배로23길 67,12:00 - 21:00,0507-1327-2464,https://smartstore.naver.com/alphahomecafe,"""NO INFO""",공사중,"{'커피가 맛있어요': '16', '인테리어가 멋져요': '8', '친절해요': '8', '디저트가 맛있어요': '5', '음료가 맛있어요': '5', '매장이 청결해요': '5', '사진이 잘 나와요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '가성비가 좋아요': '3', '특별한 메뉴가 있어요': '1', '화장실이 깨끗해요': '1'}"
530,530,진천동 카페묘묘,카페 묘묘,초기값,123,34,대구 달서구 월배로24길 90 1층,NO INFO,010-3245-2773,https://www.instagram.com/cafemyomyo_,"""NO INFO""",공사중,"{'커피가 맛있어요': '77', '디저트가 맛있어요': '74', '친절해요': '71', '음료가 맛있어요': '57', '인테리어가 멋져요': '39', '아늑해요': '33', '매장이 청결해요': '32', '가성비가 좋아요': '28', '특별한 메뉴가 있어요': '28', '대화하기 좋아요': '17', '사진이 잘 나와요': '15', '집중하기 좋아요': '10', '주차하기 편해요': '5', '화장실이 깨끗해요': '5'}"
531,531,상인2동 쏭쏭계란빵,쏭쏭계란빵 상인점,초기값,48,4,대구 달서구 월배로32길 37 쏭쏭계란빵,"13:00 - 01:00
00:30 라스트오더",010-6504-1808,NO INFO,"""카스테라 반죽을 사용해 부드럽고 겉바속촉으로 즉시 구워드려
더욱 맛있어요! 계란이 통째로 들어가 영양가득 최고의 간식!""",공사중,"{'친절해요': '27', '디저트가 맛있어요': '19', '특별한 메뉴가 있어요': '14', '매장이 청결해요': '9', '음료가 맛있어요': '6', '가성비가 좋아요': '6', '커피가 맛있어요': '4', '인테리어가 멋져요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1'}"
532,532,월성1동 컴포즈커피 대구월성중앙점,컴포즈커피 대구월성중앙점,초기값,230,2,대구 달서구 월배로33길 125,07:30 - 23:30,053-215-6300,NO INFO,"""대구월성중앙점 컴포즈 커피 넓은 내부와 외부 정원 같은 테라스가 있어 여유로운 커피 한잔을 즐기실수 있어요^^""",공사중,"{'가성비가 좋아요': '79', '커피가 맛있어요': '65', '친절해요': '54', '매장이 청결해요': '48', '음료가 맛있어요': '43', '디저트가 맛있어요': '25', '대화하기 좋아요': '22', '인테리어가 멋져요': '14', '좌석이 편해요': '12', '집중하기 좋아요': '11', '사진이 잘 나와요': '8', '화장실이 깨끗해요': '8', '뷰가 좋아요': '6', '특별한 메뉴가 있어요': '5'}"
533,533,상인2동 카페꽃이피다 상인점,카페 꽃이피다 상인점,4.43,85,11,대구 달서구 월배로34길 31 1~2층,NO INFO,053-642-7788,https://www.instagram.com/,"""아늑하고 따뜻한 분위기에 고급원두로 내린 맛있는 커피와 디카페인을 원두로 내린 흔지 않는 디카페인 맛집!! 수제 샌드위치는 어디서도 맛 볼 수 없는 찐 맛집^^ 바닐라딜라이트는 고객님들의 최애 메뉴^^다른 음료들도 디저트도 맛있는 숨은 맛집입니당^^""",공사중,"{'커피가 맛있어요': '41', '디저트가 맛있어요': '24', '친절해요': '21', '음료가 맛있어요': '20', '가성비가 좋아요': '20', '대화하기 좋아요': '13', '매장이 청결해요': '11', '인테리어가 멋져요': '10', '특별한 메뉴가 있어요': '5', '사진이 잘 나와요': '4', '화장실이 깨끗해요': '3', '집중하기 좋아요': '2', '뷰가 좋아요': '2'}"
534,534,상인1동 식스에비뉴,6th Avenue,4.38,127,초기값,대구 달서구 월배로39길 30,09:30 - 22:30,053-641-8070,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '15', '친절해요': '12', '음료가 맛있어요': '7', '대화하기 좋아요': '7', '디저트가 맛있어요': '3', '매장이 청결해요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '특별한 메뉴가 있어요': '2', '가성비가 좋아요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"
535,535,상인1동 더벤티 대구상인2호점,더벤티 대구상인2호점,4.41,159,초기값,대구 달서구 월배로39길 30 가동 1층 더벤티 대구상인2호점,08:00 - 21:00,053-269-8885,http://0532698885.tshome.co.kr/,"""NO INFO""",공사중,"{'커피가 맛있어요': '40', '음료가 맛있어요': '25', '친절해요': '25', '가성비가 좋아요': '18', '매장이 청결해요': '16', '대화하기 좋아요': '6', '디저트가 맛있어요': '4', '좌석이 편해요': '3', '인테리어가 멋져요': '3', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1'}"
536,536,상인2동 봉명동내커피 대구상인점,봉명동내커피 상인점,초기값,27,20,대구 달서구 월배로40길 103 1층 101호,10:00 - 01:00,0507-1397-0555,NO INFO,"""NO INFO""",공사중,"{'친절해요': '23', '음료가 맛있어요': '20', '가성비가 좋아요': '15', '매장이 청결해요': '14', '디저트가 맛있어요': '8', '커피가 맛있어요': '7', '특별한 메뉴가 있어요': '6', '인테리어가 멋져요': '4', '뷰가 좋아요': '4', '좌석이 편해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
537,537,상인3동 꼬미당,꼬미당,초기값,104,35,대구 달서구 월배로40길 114 1층 꼬미당,12:00 - 22:00,0507-1346-3130,https://blog.naver.com/scy1009,"""상인동 수제 구움과자&레터링 케이크 전문점 꼬미당입니다 :)
매일 아침 모든 디저트를 직접 만들고 있어요 :)
자세한 라인업은 인스타그램을 참고해주세요!""",공사중,"{'디저트가 맛있어요': '81', '친절해요': '60', '매장이 청결해요': '44', '커피가 맛있어요': '43', '인테리어가 멋져요': '38', '음료가 맛있어요': '33', '특별한 메뉴가 있어요': '33', '사진이 잘 나와요': '25', '대화하기 좋아요': '17', '가성비가 좋아요': '13', '좌석이 편해요': '4', '화장실이 깨끗해요': '4', '집중하기 좋아요': '3'}"
538,538,상인2동 스마일커피팩토리,스마일커피팩토리,초기값,62,36,대구 달서구 월배로40길 120,"11:30 - 20:00
19:30 라스트오더",053-633-4560,NO INFO,"""2월 초에 재오픈한 스마일커피팩토리입니다.""",공사중,"{'커피가 맛있어요': '29', '음료가 맛있어요': '24', '매장이 청결해요': '16', '디저트가 맛있어요': '15', '친절해요': '13', '인테리어가 멋져요': '10', '특별한 메뉴가 있어요': '7', '가성비가 좋아요': '6', '사진이 잘 나와요': '5', '대화하기 좋아요': '5', '좌석이 편해요': '4', '화장실이 깨끗해요': '3', '집중하기 좋아요': '2'}"
